Photo,Forest,Cnpy,LAI4,GLI
4039,CBE,24.92,1.53,28.53
4040,CBE,24.3,1.53,30.58
4041,CBE,26.82,1.44,33.06
4042,CBE,33.37,1.1,38.23
4043,CBE,27.6,1.63,28.76
4044,CBE,28.98,1.46,31.99
4045,CBE,29.03,1.32,33.06
4046,CBE,29.23,1.2,35.33
4047,CBE,26.06,1.5,32.23
4048,CBE,25.02,1.59,28.21
4049,CBE,26.39,1.54,30.9
4050,CBE,28.26,1.4,32.83
4051,CBE,28.76,1.54,31.26
4053,CBE,25.6,1.55,34.14
4054,CBE,25.73,1.5,31.1
4055,CBE,23.26,1.71,26.82
4056,CBE,30.63,1.27,41.45
4057,CBE,28.79,1.41,32.93
4178,CBE,30.8,1.36,25.86
4180,CBE,36.66,1.19,22.92
4181,CBE,32.02,1.27,26.68
4182,CBE,34.83,1.17,30.44
4183,CBE,29.63,1.4,25.98
4184,CBE,31.5,1.3,29.98
4185,CBE,27.1,1.68,27.91
4186,CBE,35.8,1.11,28.69
4187,CBE,33.81,1.25,33.62
4122,CBE,25.83,1.49,17.54
4124,CBE,30.26,1.43,25.53
4125,CBE,26.59,1.53,23.78
4126,CBE,36.03,1.14,24.49
4127,CBE,32.26,1.34,20.61
4128,CBE,34.72,1.17,25.27
4129,CBE,32.62,1.33,32.69
4130,CBE,34.18,1.26,31.53
4131,CBE,35.3,1.13,25.59
4113,CBE,30.81,1.28,31.34
4114,CBE,34.25,1.25,31.86
4115,CBE,29.85,1.33,32.26
4116,CBE,32.34,1.19,33.46
4117,CBE,30.52,1.2,32.03
4118,CBE,29.73,1.28,34.65
4119,CBE,34.92,1.15,38.5
4120,CBE,29.64,1.39,30.02
4121,CBE,31.99,1.31,30.67
4058,CBE,26.29,1.47,24.12
4059,CBE,29.39,1.14,31.63
4060,CBE,27.18,1.43,29.39
4061,CBE,24.47,1.55,24.13
4108,CBE,33.79,1.11,36.05
4109,CBE,28.74,1.48,28.82
4110,CBE,26.63,1.42,32.02
4111,CBE,30.24,1.26,33.31
4112,CBE,28.38,1.56,24.96
4188,CBE,25.95,1.5,25.1
4189,CBE,28.22,1.41,26.42
4190,CBE,23.9,1.68,25.1
4191,CBE,23.21,1.58,26.15
4192,CBE,27.49,1.35,28.01
4193,CBE,27.06,1.38,28.72
4194,CBE,18.81,1.79,21.18
4195,CBE,23.24,1.61,24
4196,CBE,27.43,1.49,20.71
4169,CBE,27.91,1.38,24.35
4170,CBE,29.09,1.5,24.1
4171,CBE,30.32,1.5,34.58
4172,CBE,27.33,1.46,26.77
4173,CBE,28.16,1.39,24.37
4174,CBE,28.62,1.36,23.17
4175,CBE,30.52,1.24,28.53
4176,CBE,31.08,1.21,29.57
4177,CBE,24.99,1.7,23.17
4197,CBE,29.5,1.37,27.97
4198,CBE,26.57,1.42,27.05
4199,CBE,23.64,1.54,24.95
4200,CBE,29.82,1.43,27.81
4201,CBE,25.52,1.49,24.84
4202,CBE,31.59,1.2,29.76
4203,CBE,26.39,1.52,22.98
4204,CBE,30.51,1.44,24.7
4205,CBE,33.13,1.12,32.39
4206,CBE,32.11,1.31,30.27
4207,CBE,27.54,1.48,28.46
4208,CBE,28.94,1.34,28.33
4209,CBE,32.03,1.32,32.83
4210,CBE,28.25,1.29,30.19
4211,CBE,30.03,1.42,29.73
4212,CBE,27.96,1.5,22.59
4213,CBE,27.96,1.5,22.59
4214,CBE,33.74,1.15,31.53
4021,CSR,23.74,1.68,30.83
4022,CSR,25.16,1.54,30.64
4023,CSR,25.68,1.4,35.68
4024,CSR,22.36,1.64,29.9
4025,CSR,30.39,1.45,34.31
4026,CSR,34.2,1.05,43.75
4027,CSR,34.06,1.26,40.78
4028,CSR,30.27,1.62,35.97
4029,CSR,30.78,1.36,38.38
4030,CSR,32.06,1.09,42.93
4031,CSR,31.09,1.07,38.7
4032,CSR,33.6,1.04,41.62
4033,CSR,26.24,1.54,29.86
4034,CSR,37.37,1.06,42.46
4035,CSR,26.68,1.44,35.18
4036,CSR,24.17,1.58,31.12
4037,CSR,26.64,1.43,34.65
4038,CSR,25.49,1.68,31.4
4062,CSR,29.39,1.25,37.26
4063,CSR,30.01,1.47,32.7
4064,CSR,35.71,1.08,45.56
4065,CSR,33.5,1.13,41.46
4066,CSR,29.54,1.28,38.81
4067,CSR,31.66,1.28,40.09
4069,CSR,30.04,1.3,37.41
4068,CSR,35.47,1.12,44.44
4071,CSR,30.72,1.26,37.45
4072,CSR,26.74,1.32,33.45
4073,CSR,28.77,1.33,37.02
4074,CSR,27.94,1.31,36.26
4075,CSR,28.24,1.39,37.84
4076,CSR,26.15,1.42,36.02
4077,CSR,28.33,1.23,37.82
4078,CSR,31.14,1.25,39.73
4079,CSR,27.52,1.4,34.6
4080,CSR,30.87,1.04,41.11
4081,CSR,31.63,1.14,38.45
4082,CSR,31.92,1.15,40.19
4083,CSR,32.7,1.02,43.3
4084,CSR,34.89,0.94,45.14
4085,CSR,37.49,0.89,43.32
4086,CSR,34.43,0.97,42.6
4087,CSR,34.22,1.01,40.9
4088,CSR,37.4,0.87,45.89
4089,CSR,36,0.89,47.64
4090,CSR,32.43,1.12,39.12
4091,CSR,32.82,1.02,39.86
4092,CSR,36.64,0.97,45.88
4093,CSR,36.48,1,43.51
4094,CSR,38.17,1,45.5
4095,CSR,34.88,1.12,44.68
4097,CSR,27.92,1.36,36.41
4098,CSR,34.29,0.98,42.97
4099,CSR,36.86,0.93,47.65
4159,CSR,27.88,1.44,30.95
4160,CSR,31.06,1.43,33.61
4161,CSR,30.48,1.46,38.52
4162,CSR,30.35,1.24,39.97
4163,CSR,29.33,1.36,35.24
4164,CSR,30.29,1.14,40.67
4165,CSR,29.49,1.4,36.34
4165,CSR,28.63,1.52,35.69
4168,CSR,33.93,1.07,41.05
4150,CSR,35.53,1.31,35.84
4151,CSR,33.82,1.22,38.62
4152,CSR,30.51,1.39,36.2
4153,CSR,31.79,1.3,35.37
4154,CSR,24.94,1.81,36.56
4155,CSR,27.13,1.64,33.03
4156,CSR,32.68,1.13,39.4
4157,CSR,34.98,1.13,40.77
4158,CSR,33.78,1.06,39.42
4141,CSR,25.39,1.64,33.19
4142,CSR,25.45,1.57,33.58
4143,CSR,25.53,1.57,35.13
4144,CSR,24.62,1.86,39.13
4145,CSR,29.21,1.17,39.71
4146,CSR,25.67,1.6,32.32
4147,CSR,37.42,1.06,44.59
4148,CSR,31.12,1.31,36.33
4149,CSR,30.72,1.26,35.49
4132,CSR,27.6,1.39,35.95
4133,CSR,32.75,1.13,42.02
4134,CSR,31.14,1.46,38.2
4135,CSR,28.75,1.32,41.95
4136,CSR,29.51,1.25,37.44
4137,CSR,31.89,1.28,37.17
4138,CSR,31.39,1.15,38.56
4139,CSR,27.17,1.33,35.36
4140,CSR,27.1,1.28,34.89
