estacionID,fecha,temp_media,tmax,tmin
AGSAG,08/09/21 0:00,20.5,26,15
ALMAG,08/09/21 0:00,15.5,21,10
ANVAG,08/09/21 0:00,19.5,25,14
CDRAG,08/09/21 0:00,19,23.5,14.5
CNSAG,08/09/21 0:00,20,25.5,14.5
CSOAG,08/09/21 0:00,14,20,8
JCQAG,08/09/21 0:00,19.25,24,14.5
MNLAG,08/09/21 0:00,19,22,16
NGRAG,08/09/21 0:00,18.5,23,14
OBSAG,08/09/21 0:00,20.9,25.8,16
PBLAG,08/09/21 0:00,19.5,25,14
PECAG,08/09/21 0:00,19.5,24,15
PTOAG,08/09/21 0:00,18.5,24,13
PTRAG,08/09/21 0:00,19.75,25.5,14
ALRBN,08/09/21 0:00,25,32,18
CRRBN,08/09/21 0:00,23,32,14
EFLBN,08/09/21 0:00,25,31,19
ELZBN,08/09/21 0:00,24,29,19
ENBBN,08/09/21 0:00,23.5,26,21
ENLBN,08/09/21 0:00,34.9,42,27.8
MXCBN,08/09/21 0:00,37.5,45.1,30
PDMBN,08/09/21 0:00,33,40,26
PRTBN,08/09/21 0:00,26.5,35,18
SFLBN,08/09/21 0:00,32.5,35.7,29.4
CCNBS,08/09/21 0:00,28.5,35.4,21.6
CSLBS,08/09/21 0:00,27,32,22
DORBS,08/09/21 0:00,24.5,33,16
GNGBS,08/09/21 0:00,23,26,20
LBABS,08/09/21 0:00,31.5,37,26
LPZBS,08/09/21 0:00,29.9,35.2,24.6
LRTBS,08/09/21 0:00,32.05,36,28.1
MLGBS,08/09/21 0:00,30.5,35,26
PLNBS,08/09/21 0:00,30,36,24
RBRBS,08/09/21 0:00,28.75,32.5,25
SANBS,08/09/21 0:00,28.5,36,21
SARBS,08/09/21 0:00,29.5,35,24
SBABS,08/09/21 0:00,22,28,16
SJCBS,08/09/21 0:00,26,31,21
SNTBS,08/09/21 0:00,29,35,23
SRLBS,08/09/21 0:00,29.55,35.7,23.4
TSNBS,08/09/21 0:00,25,30,20
BOLCA,08/09/21 0:00,27.5,32,23
CANCA,08/09/21 0:00,25.5,30,21
CARCA,08/09/21 0:00,28.5,33,24
CHMCA,08/09/21 0:00,28,33,23
CMPCA,08/09/21 0:00,28,33,23
CNDCA,08/09/21 0:00,27.5,33,22
COBCA,08/09/21 0:00,29.8,36.9,22.7
ESCCA,08/09/21 0:00,30,36,24
HECCA,08/09/21 0:00,27,34,20
HPOCA,08/09/21 0:00,28.5,35,22
NYXCA,08/09/21 0:00,28.5,37,20
PLZCA,08/09/21 0:00,28,34,22
SBNCA,08/09/21 0:00,28,34,22
XCPCA,08/09/21 0:00,27,32,22
XPJCA,08/09/21 0:00,27.5,31,24
c08219,08/09/21 0:00,15.5,23,8
C08243,08/09/21 0:00,18,26,10
C08270,08/09/21 0:00,26,35,17
C08182,08/09/21 0:00,24.5,31,18
C08099,08/09/21 0:00,17.5,24,11
AGZCH,08/09/21 0:00,21,29,13
BACCH,08/09/21 0:00,19.5,26,13
BTPCH,08/09/21 0:00,26.3,33,19.6
CAGCH,08/09/21 0:00,24.55,34.6,14.5
CDLCH,08/09/21 0:00,26,34,18
CJZCH,08/09/21 0:00,26,33,19
CL2CH,08/09/21 0:00,22.25,31,13.5
CNDCH,08/09/21 0:00,26.25,30.5,22
CRLCH,08/09/21 0:00,17,24,10
FIMCH,08/09/21 0:00,26.5,34,19
GPCCH,08/09/21 0:00,23.2,30.5,15.9
GRCCH,08/09/21 0:00,26.85,34.3,19.4
IGNCH,08/09/21 0:00,26.5,34,19
LBQCH,08/09/21 0:00,25.5,34,17
LJSCH,08/09/21 0:00,22,30,14
LLNCH,08/09/21 0:00,32.5,40,25
NRGCH,08/09/21 0:00,19.25,26,12.5
OJNCH,08/09/21 0:00,31.75,42,21.5
PRRCH,08/09/21 0:00,22.95,31.4,14.5
QIJCH,08/09/21 0:00,24,33,15
TB2CH,08/09/21 0:00,29,36.8,21.2
TMCCH,08/09/21 0:00,21.6,29.8,13.4
TNTCH,08/09/21 0:00,23.5,32,15
URECH,08/09/21 0:00,25.7,30.8,20.6
VICCH,08/09/21 0:00,22,31,13
VZRCH,08/09/21 0:00,25,34,16
AMSCL,08/09/21 0:00,31,39,23
ARACL,08/09/21 0:00,24.5,31,18
CBRCL,08/09/21 0:00,31,38,24
CDACL,08/09/21 0:00,30.5,38,23
CUICL,08/09/21 0:00,27.2,37.5,17
CYTCL,08/09/21 0:00,26.2,31,21.5
ESLCL,08/09/21 0:00,23.5,29,18
FIMCL,08/09/21 0:00,24.5,30,19
MATCL,08/09/21 0:00,28,34,22
MCVCL,08/09/21 0:00,30.2,37.2,23.2
PNGCL,08/09/21 0:00,32,39.2,24.8
PRSCL,08/09/21 0:00,29.5,37,22
SAACL,08/09/21 0:00,16.5,25,8
SALCL,08/09/21 0:00,22,29.7,14.3
SBNCL,08/09/21 0:00,31.75,40,23.5
SMGCL,08/09/21 0:00,32.5,39,26
SMJCL,08/09/21 0:00,23,28,18
SPECL,08/09/21 0:00,28.2,37.5,19
STOCL,08/09/21 0:00,22.5,27,18
TORCL,08/09/21 0:00,29.15,36.5,21.8
VCRCL,08/09/21 0:00,30.5,38,23
BVSCM,08/09/21 0:00,26,31,21
CDOCM,08/09/21 0:00,28.7,33.5,24
CLLCM,08/09/21 0:00,30,36,24
CQMCM,08/09/21 0:00,26.5,31,22
CUACM,08/09/21 0:00,26.5,33,20
DJLCM,08/09/21 0:00,25.7,30.5,21
LAECM,08/09/21 0:00,26,31,21
LDACM,08/09/21 0:00,28.5,33,24
LPSCM,08/09/21 0:00,26.2,31.9,20.5
MNZCM,08/09/21 0:00,29.2,32.4,26.1
PNTCM,08/09/21 0:00,27.2,33.5,21
RDRCM,08/09/21 0:00,27.7,32.5,23
TCMCM,08/09/21 0:00,28.5,33,24
TRJCM,08/09/21 0:00,28.5,34,23
ACACP,08/09/21 0:00,27,32,22
ANGCP,08/09/21 0:00,24,30,18
AROCP,08/09/21 0:00,29.4,35.8,23
BOQCP,08/09/21 0:00,26.75,34,19.5
CASCP,08/09/21 0:00,26.75,32,21.5
CHICP,08/09/21 0:00,28.25,33.5,23
CHMCP,08/09/21 0:00,22.35,26.5,18.2
COOCP,08/09/21 0:00,22.4,29.2,15.6
DESCP,08/09/21 0:00,23.9,31,16.8
ELNCP,08/09/21 0:00,28.25,33.5,23
ESCCP,08/09/21 0:00,29,35.5,22.5
FHACP,08/09/21 0:00,22,27,17
FPZCP,08/09/21 0:00,20.5,24,17
GRICP,08/09/21 0:00,28.25,35,21.5
HUECP,08/09/21 0:00,30.5,37.5,23.5
HUICP,08/09/21 0:00,28.5,34,23
JAPCP,08/09/21 0:00,26.5,35,18
LACCP,08/09/21 0:00,26.75,32,21.5
MALCP,08/09/21 0:00,29.5,34,25
MAPCP,08/09/21 0:00,25.25,29,21.5
PCOCP,08/09/21 0:00,24,29,19
PENCP,08/09/21 0:00,29,33,25
PIJCP,08/09/21 0:00,28,32.5,23.5
REFCP,08/09/21 0:00,24.5,30,19
REVCP,08/09/21 0:00,26,31,21
SAACP,08/09/21 0:00,26.25,30,22.5
SAYCP,08/09/21 0:00,27.75,33,22.5
SCOCP,08/09/21 0:00,19,26,12
SCRCP,08/09/21 0:00,17.75,23,12.5
SDOCP,08/09/21 0:00,26.5,32.5,20.5
SMICP,08/09/21 0:00,25.5,31,20
SNACP,08/09/21 0:00,28.75,33.5,24
TAPCP,08/09/21 0:00,28.4,33,23.8
TPICP,08/09/21 0:00,27.5,32,23
TUXCP,08/09/21 0:00,26.5,31,22
TXOCP,08/09/21 0:00,27.85,33.7,22
TXZCP,08/09/21 0:00,25,31,19
YAMCP,08/09/21 0:00,26.25,30,22.5
CEADF,08/09/21 0:00,17.5,24,11
DATDF,08/09/21 0:00,15,20,10
SJADF,08/09/21 0:00,17.5,22.5,12.5
CB2DR,08/09/21 0:00,16.75,21.5,12
CBRDR,08/09/21 0:00,16.7,21.5,12
CEBDR,08/09/21 0:00,26.5,35,18
CGVDR,08/09/21 0:00,19,25,13
CLRDR,08/09/21 0:00,26.5,33,20
CNTDR,08/09/21 0:00,18.5,24,13
DRGDR,08/09/21 0:00,20.9,28,13.8
FV2DR,08/09/21 0:00,16.5,20,13
FVLDR,08/09/21 0:00,16.5,20,13
FZRDR,08/09/21 0:00,29.7,37,22.5
GESDR,08/09/21 0:00,23,30,16
GNCDR,08/09/21 0:00,15,26,4
GUADR,08/09/21 0:00,16.7,24,9.5
GVCDR,08/09/21 0:00,19.2,23.5,15
GVHDR,08/09/21 0:00,19.25,23.5,15
LCRDR,08/09/21 0:00,22.2,28.5,16
LFLDR,08/09/21 0:00,26.5,34,19
LHRDR,08/09/21 0:00,26.25,31,21.5
NAVDR,08/09/21 0:00,15.2,21.5,9
NZSDR,08/09/21 0:00,25.5,34,17
PA2DR,08/09/21 0:00,18,23,13
PAGDR,08/09/21 0:00,18,23,13
PDCDR,08/09/21 0:00,16.7,22.5,11
SACDR,08/09/21 0:00,20.5,27,14
SB2DR,08/09/21 0:00,21,27,15
SBYDR,08/09/21 0:00,21,27,15
SCLDR,08/09/21 0:00,21.2,30,12.5
SGBDR,08/09/21 0:00,20.5,29,12
SJGDR,08/09/21 0:00,26,35,17
SLCDR,08/09/21 0:00,23.5,31,16
SLTDR,08/09/21 0:00,15.5,23,8
SMODR,08/09/21 0:00,18,27,9
SPGDR,08/09/21 0:00,24.2,32,16.5
SPPDR,08/09/21 0:00,22,30,14
SRDDR,08/09/21 0:00,19.5,31,8
TGRDR,08/09/21 0:00,24.2,33,15.5
THODR,08/09/21 0:00,27,36,18
TLHDR,08/09/21 0:00,19.9,27.7,12
TMZDR,08/09/21 0:00,26.75,31.5,22
VGCDR,08/09/21 0:00,18.7,25.5,12
VHGDR,08/09/21 0:00,20.7,27,14.5
VOCDR,08/09/21 0:00,20.5,29,12
ABSGJ,08/09/21 0:00,19.5,25,14
ACNGJ,08/09/21 0:00,19,25,13
AEGGJ,08/09/21 0:00,22,29.5,14.5
AMCGJ,08/09/21 0:00,20.25,27.5,13
APSGJ,08/09/21 0:00,19.5,26,13
ATBGJ,08/09/21 0:00,19,24,14
BRRGJ,08/09/21 0:00,20.5,25,16
CLYGJ,08/09/21 0:00,18.5,25,12
COMGJ,08/09/21 0:00,19.5,26,13
CORGJ,08/09/21 0:00,17.75,26,9.5
CRMGJ,08/09/21 0:00,21,27,15
CRTGJ,08/09/21 0:00,20.75,26.5,15
CSRGJ,08/09/21 0:00,19.5,24,15
CSTGJ,08/09/21 0:00,20.25,26,14.5
DHGGJ,08/09/21 0:00,18.5,28,9
ECBGJ,08/09/21 0:00,19,25,13
ECHGJ,08/09/21 0:00,20,26,14
ECNGJ,08/09/21 0:00,20,25.5,14.5
EPLGJ,08/09/21 0:00,21,27,15
GLNGJ,08/09/21 0:00,18.5,24,13
GTOGJ,08/09/21 0:00,20.3,27.5,13.1
IALGJ,08/09/21 0:00,20,27,13
IRPGJ,08/09/21 0:00,21,25,17
JCRGJ,08/09/21 0:00,17,23,11
LADGJ,08/09/21 0:00,19,25,13
LDYGJ,08/09/21 0:00,19.25,25,13.5
LENGJ,08/09/21 0:00,20.5,26,15
LGVGJ,08/09/21 0:00,17.5,24,11
LJIGJ,08/09/21 0:00,19.5,25,14
LQMGJ,08/09/21 0:00,17,22,12
OCMGJ,08/09/21 0:00,17.5,24,11
PERGJ,08/09/21 0:00,17.75,21.5,14
PNLGJ,08/09/21 0:00,20,25,15
POZGJ,08/09/21 0:00,17.5,23,12
PRSGJ,08/09/21 0:00,21.25,28,14.5
SFEGJ,08/09/21 0:00,14,18,10
SJLGJ,08/09/21 0:00,17.75,24,11.5
SLMGJ,08/09/21 0:00,19.25,25,13.5
SLPGJ,08/09/21 0:00,18.5,27,10
SLSGJ,08/09/21 0:00,18.5,25,12
SLVGJ,08/09/21 0:00,19.25,27,11.5
SMAGJ,08/09/21 0:00,18,24,12
SMOGJ,08/09/21 0:00,19,25,13
SRTGJ,08/09/21 0:00,19.25,25.5,13
TEMGJ,08/09/21 0:00,20.5,25,16
VDSGJ,08/09/21 0:00,20,27,13
XICGJ,08/09/21 0:00,22,28.5,15.5
ACAGR,08/09/21 0:00,26.25,30.5,22
AERGR,08/09/21 0:00,22.95,29,16.9
AFIGR,08/09/21 0:00,29,36,22
AHUGR,08/09/21 0:00,16,18,14
ATYGR,08/09/21 0:00,29.5,35,24
AYUGR,08/09/21 0:00,25,30,20
BVSGR,08/09/21 0:00,20.5,27,14
CALGR,08/09/21 0:00,27,32,22
CHIGR,08/09/21 0:00,21.5,26,17
CHLGR,08/09/21 0:00,19.5,24,15
COPGR,08/09/21 0:00,27,31,23
CYQGR,08/09/21 0:00,28,35,21
IGLGR,08/09/21 0:00,24.7,29.4,20
IXTGR,08/09/21 0:00,25.5,32,19
K21GR,08/09/21 0:00,28.5,34,23
MCHGR,08/09/21 0:00,23,29,17
ODAGR,08/09/21 0:00,29.3,35.8,22.8
ODZGR,08/09/21 0:00,21.5,28,15
OLNGR,08/09/21 0:00,23.5,30,17
PETGR,08/09/21 0:00,22.5,30,15
QTZGR,08/09/21 0:00,27.5,34,21
SJEGR,08/09/21 0:00,28,32,24
SNMGR,08/09/21 0:00,24.5,38,11
TAXGR,08/09/21 0:00,19,22,16
TLAGR,08/09/21 0:00,14,19,9
TLPGR,08/09/21 0:00,24.5,31,18
TXTGR,08/09/21 0:00,22.5,28,17
VGRGR,08/09/21 0:00,23.75,34.5,13
VTRGR,08/09/21 0:00,26.5,37,16
XXHGR,08/09/21 0:00,26,33,19
ZHTGR,08/09/21 0:00,29,36,22
ACTHD,08/09/21 0:00,17,23,11
ATCHD,08/09/21 0:00,28.5,34.5,22.5
ENDHD,08/09/21 0:00,19.5,25,14
HHTHD,08/09/21 0:00,26,32,20
HJTHD,08/09/21 0:00,28,34,22
LMTHD,08/09/21 0:00,24,32,16
MXQHD,08/09/21 0:00,18.5,24,13
ORZHD,08/09/21 0:00,27.5,32,23
PCOHD,08/09/21 0:00,17.6,23,12.2
PERHD,08/09/21 0:00,15,19,11
PRGHD,08/09/21 0:00,21.5,28,15
PRQHD,08/09/21 0:00,18.5,24,13
PVAHD,08/09/21 0:00,20.5,28,13
TLGHD,08/09/21 0:00,16.9,22.8,11
TXMHD,08/09/21 0:00,17.5,26,9
ZMPHD,08/09/21 0:00,22,25.3,18.6
ZXTHD,08/09/21 0:00,18.5,24,13
AJJJL,08/09/21 0:00,19.2,24,14.5
ATQJL,08/09/21 0:00,21.2,27,15.5
BBAJL,08/09/21 0:00,23,33,13
BCSJL,08/09/21 0:00,23.5,28,19
BLNJL,08/09/21 0:00,23.5,28,19
CGZJL,08/09/21 0:00,21.5,27,16
CHFJL,08/09/21 0:00,25.7,29,22.5
CIHJL,08/09/21 0:00,27,30,24
CLTJL,08/09/21 0:00,20,24.3,15.7
